번호,발생시각,규모,깊이(km),"최대
진도",위도,경도,위치,지도보기,"상세정보
(진도 등)"
1089,2022/06/02 20:48:21,2.6,26,Ⅰ,38.12 N,130.98 E,경북 울릉군 울릉도 북쪽 71km 해역,지도,상세정보
1088,2022/05/13 6:50:56,2.3,21,Ⅰ,33.34 N,127.22 E,제주 서귀포시 동쪽 62km 해역,지도,상세정보
1087,2022/04/30 9:20:21,2.3,10,Ⅰ,38.98 N,127.29 E,북한 강원 원산 남남서쪽 24km 지역,지도,상세정보
1086,2022/04/21 2:34:32,2.3,-,Ⅰ,38.85 N,125.78 E,북한 황해북도 송림 북동쪽 18km 지역,지도,상세정보
1085,2022/04/18 14:22:38,2.3,11,Ⅲ,37.26 N,126.10 E,인천 옹진군 서남서쪽 52km 지역,지도,상세정보
1084,2022/04/17 23:33:29,2.3,9,Ⅲ,35.22 N,128.60 E,경남 창원시 마산회원구 동쪽 2km 지역,지도,상세정보
1083,2022/04/16 2:08:34,2.6,18,Ⅲ,34.75 N,127.26 E,전남 고흥군 북쪽 16km 지역,지도,상세정보
1082,2022/04/12 14:56:28,2.4,14,Ⅲ,36.82 N,129.47 E,경북 울진군 남남동쪽 20km 해역,지도,상세정보
1081,2022/04/10 2:45:46,3.4,18,Ⅲ,36.45 N,129.62 E,경북 영덕군 동쪽 23km 해역,지도,상세정보
1080,2022/04/09 10:55:42,2.2,19,Ⅱ,36.54 N,128.08 E,경북 상주시 북북서쪽 16km 지역,지도,상세정보
1079,2022/04/03 14:19:19,2,11,Ⅲ,35.69 N,129.35 E,경북 경주시 남남동쪽 22km 지역,지도,상세정보
1078,2022/03/16 18:18:18,2.3,-,Ⅰ,33.70 N,125.06 E,전남 신안군 흑산도 남남서쪽 113km 해역,지도,상세정보
1077,2022/03/15 0:22:27,2,12,Ⅰ,39.42 N,126.19 E,북한 평안남도 성천 북쪽 20km 지역,지도,상세정보
1076,2022/03/06 18:40:32,2.5,18,Ⅰ,37.31 N,129.54 E,강원 삼척시 동남동쪽 37km 해역,지도,상세정보
1075,2022/03/05 22:16:21,2.4,12,Ⅲ,36.39 N,127.13 E,충남 공주시 남쪽 6km 지역,지도,상세정보
1074,2022/03/04 2:15:37,2.1,29,Ⅰ,41.24 N,129.22 E,북한 함경북도 길주 북북서쪽 33km 지역,지도,상세정보
1073,2022/02/28 21:31:28,2.1,24,Ⅰ,41.25 N,129.28 E,북한 함경북도 길주 북쪽 33km 지역,지도,상세정보
1072,2022/02/24 12:07:10,2.2,21,Ⅰ,34.00 N,127.59 E,전남 여수시 거문도 동쪽 25km 해역,지도,상세정보
1071,2022/02/15 6:52:28,2.5,29,Ⅰ,41.29 N,129.23 E,북한 함경북도 길주 북북서쪽 38km 지역,지도,상세정보
1070,2022/02/14 19:47:27,2.3,18,Ⅰ,41.28 N,129.26 E,북한 함경북도 길주 북쪽 37km 지역,지도,상세정보
1069,2022/02/14 14:33:22,2.3,22,Ⅰ,41.27 N,129.24 E,북한 함경북도 길주 북북서쪽 36km 지역,지도,상세정보
1068,2022/02/11 10:35:26,3.1,17,Ⅰ,41.30 N,129.21 E,북한 함경북도 길주 북북서쪽 40km 지역,지도,상세정보
1067,2022/02/10 17:20:34,2.2,19,Ⅲ,35.29 N,126.59 E,전남 영광군 동북동쪽 7km 지역,지도,상세정보
1066,2022/02/08 15:57:13,2.9,16,Ⅰ,35.07 N,125.06 E,전남 신안군 흑산도 북서쪽 55km 해역,지도,상세정보
1065,2022/02/04 2:47:44,2.3,16,Ⅰ,37.41 N,129.51 E,강원 삼척시 동쪽 31km 해역,지도,상세정보
1064,2022/02/02 12:04:55,2.4,19,Ⅲ,35.72 N,128.99 E,경북 청도군 동북동쪽 24km 지역,지도,상세정보
1063,2022/01/28 6:46:53,2.3,9,Ⅱ,34.37 N,127.30 E,전남 고흥군 남쪽 26km 해역,지도,상세정보
1062,2021/12/30 17:54:56,2.2,14,Ⅰ,41.30 N,129.17 E,북한 함경북도 길주 북북서쪽 41km 지역,지도,상세정보
1061,2021/12/30 14:21:35,2.3,19,Ⅰ,41.31 N,129.21 E,북한 함경북도 길주 북북서쪽 41km 지역,지도,상세정보
1060,2021/12/17 6:22:10,3.2,18,Ⅲ,33.12 N,126.18 E,제주 서귀포시 서남서쪽 38km 해역,지도,상세정보
1059,2021/12/15 22:02:14,2.3,10,Ⅳ,35.79 N,127.80 E,경남 거창군 북서쪽 15km 지역,지도,상세정보
1058,2021/12/15 15:06:47,2.8,14,Ⅱ,33.14 N,126.15 E,제주 서귀포시 서남서쪽 40km 해역,지도,상세정보
1057,2021/12/14 17:19:14,4.9,17,Ⅴ,33.09 N,126.16 E,제주 서귀포시 서남서쪽 41km 해역,지도,지진분석서
1056,2021/12/09 10:57:47,2.6,17,Ⅰ,33.85 N,125.51 E,전남 신안군 흑산도 남쪽 91km 해역,지도,상세정보
1055,2021/12/04 12:33:22,2.3,20,Ⅰ,38.02 N,124.52 E,인천 옹진군 백령도 서북서쪽 16km 해역,지도,상세정보
1054,2021/11/22 5:19:31,2.1,7,Ⅱ,35.48 N,127.11 E,전북 순창군 북북서쪽 12km 지역,지도,상세정보
1053,2021/11/19 2:35:08,2.2,11,Ⅰ,33.85 N,124.77 E,전남 신안군 흑산도 남남서쪽 109km 해역,지도,상세정보
1052,2021/11/17 1:39:11,2.9,19,Ⅰ,35.66 N,129.75 E,울산 동구 동북동쪽 35km 해역,지도,상세정보
1051,2021/11/16 20:53:24,2.1,8,Ⅰ,34.50 N,125.90 E,전남 진도군 서쪽 33km 해역,지도,상세정보
1050,2021/11/16 11:57:58,2.1,18,Ⅰ,35.06 N,125.06 E,전남 신안군 흑산도 북서쪽 54km 해역,지도,상세정보
1049,2021/11/12 1:31:05,2.1,8,Ⅱ,36.15 N,129.38 E,경북 포항시 북구 북쪽 12km 지역,지도,상세정보
1048,2021/10/22 6:51:48,2.4,14,Ⅲ,36.90 N,128.22 E,충북 제천시 남쪽 26km 지역,지도,상세정보
1047,2021/10/19 22:13:31,2.2,22,Ⅰ,35.90 N,129.75 E,경북 포항시 남구 동남동쪽 37km 해역,지도,상세정보
1046,2021/10/19 6:45:03,2.8,-,Ⅰ,40.41 N,127.27 E,북한 함경남도 장진 북동쪽 4km 지역,지도,상세정보
1045,2021/10/19 6:41:35,2.6,-,Ⅰ,40.37 N,127.28 E,북한 함경남도 장진 동남동쪽 4km 지역,지도,상세정보
1044,2021/10/17 23:13:56,2.4,33,Ⅰ,41.26 N,129.45 E,북한 함경북도 길주 북북동쪽 36km 지역,지도,상세정보
1043,2021/10/11 22:00:53,2.5,20,Ⅰ,41.29 N,129.20 E,북한 함경북도 길주 북북서쪽 39km 지역,지도,상세정보
1042,2021/10/11 21:58:59,2.4,25,Ⅰ,41.30 N,129.18 E,북한 함경북도 길주 북북서쪽 40km 지역,지도,-
1041,2021/10/10 2:18:51,2.1,7,Ⅰ,35.10 N,125.06 E,전남 신안군 흑산도 북서쪽 58km 해역,지도,상세정보
1040,2021/10/06 21:55:48,2.5,13,Ⅲ,35.25 N,127.86 E,경남 하동군 북북동쪽 23km 지역,지도,상세정보
1039,2021/09/23 12:02:43,2.6,16,Ⅳ,35.42 N,128.49 E,경남 창녕군 남쪽 14km 지역,지도,상세정보
1038,2021/09/20 6:58:49,2.2,8,Ⅲ,34.88 N,127.25 E,전남 보성군 북동쪽 20km 지역,지도,상세정보
1037,2021/09/17 5:30:13,2.2,10,Ⅱ,36.71 N,126.11 E,충남 태안군 서남서쪽 17km 해역,지도,상세정보
1036,2021/09/14 3:36:01,2.2,16,Ⅲ,35.41 N,128.78 E,경남 밀양시 남남동쪽 11km 지역,지도,상세정보
1035,2021/09/12 2:04:46,2.1,13,Ⅱ,35.53 N,128.53 E,경남 창녕군 동남동쪽 4km 지역,지도,상세정보
1034,2021/09/11 3:47:27,2.1,8,Ⅰ,41.29 N,129.15 E,북한 함경북도 길주 북북서쪽 40km 지역,지도,상세정보
1033,2021/09/01 18:39:52,2.4,15,Ⅰ,41.30 N,129.13 E,북한 함경북도 길주 북북서쪽 42km 지역,지도,상세정보
1032,2021/08/29 18:47:20,2.6,15,Ⅰ,36.98 N,125.02 E,충남 태안군 서격렬비도 북서쪽 62km 해역,지도,상세정보
1031,2021/08/29 13:03:23,2.2,9,Ⅲ,35.31 N,128.49 E,경남 함안군 동북동쪽 9km 지역,지도,상세정보
1030,2021/08/28 7:03:22,2.2,15,Ⅲ,35.00 N,127.73 E,전남 광양시 북북동쪽 7km 지역,지도,상세정보
1029,2021/08/26 15:58:14,2.3,17,Ⅰ,35.07 N,125.12 E,전남 신안군 흑산도 북북서쪽 52km 해역,지도,상세정보
1028,2021/08/21 9:40:40,4,7,Ⅱ,35.70 N,124.70 E,전북 군산시 어청도 서남서쪽 124km 해역,지도,지진분석서
1027,2021/08/20 22:26:52,2.1,5,Ⅱ,38.37 N,127.99 E,북한 강원 회양 남동쪽 50km 지역,지도,상세정보
1026,2021/08/18 16:57:11,2.1,-,Ⅰ,35.10 N,129.84 E,부산 기장군 동남동쪽 58km 해역,지도,상세정보
1025,2021/08/15 9:32:43,2,18,Ⅰ,35.10 N,129.78 E,부산 기장군 동남동쪽 53km 해역,지도,상세정보
1024,2021/08/01 14:19:26,2.2,13,Ⅰ,35.65 N,129.53 E,울산 북구 동북동쪽 17km 해역,지도,상세정보
1023,2021/07/31 5:17:10,2.5,22,Ⅲ,35.65 N,128.40 E,대구 달성군 남남서쪽 14km 지역,지도,상세정보
1022,2021/07/26 6:50:56,2.2,14,Ⅲ,36.32 N,128.21 E,경북 상주시 남남동쪽 11km 지역,지도,상세정보
1021,2021/07/07 6:57:27,2.3,20,Ⅱ,36.77 N,128.46 E,경북 예천군 북쪽 14km 지역,지도,상세정보
1020,2021/06/14 22:42:17,2.4,20,Ⅰ,35.81 N,129.77 E,경북 포항시 남구 동남동쪽 43km 해역,지도,상세정보
1019,2021/06/13 23:57:32,2.5,15,Ⅰ,41.29 N,129.13 E,북한 함경북도 길주 북북서쪽 41km 지역,지도,상세정보
1018,2021/06/13 6:13:51,2,26,Ⅰ,36.97 N,130.34 E,경북 울릉군 울릉도 남서쪽 76km 해역,지도,상세정보
1017,2021/06/07 18:34:02,2.1,13,Ⅰ,33.68 N,128.07 E,전남 여수시 거문도 동남동쪽 80km 해역,지도,상세정보
1016,2021/05/30 23:53:53,2.4,9,Ⅰ,38.73 N,126.06 E,북한 황해북도 연산 남서쪽 23km 지역,지도,상세정보
1015,2021/05/26 6:13:24,2.2,-,Ⅰ,35.83 N,124.56 E,충남 태안군 서격렬비도 남서쪽 124km 해역,지도,상세정보
1014,2021/05/13 6:04:28,2,10,Ⅲ,35.89 N,127.33 E,전북 완주군 동쪽 15km 지역,지도,상세정보
1013,2021/05/04 22:42:08,2,19,Ⅰ,35.89 N,129.67 E,경북 포항시 남구 동남동쪽 31km 해역,지도,상세정보
1012,2021/04/30 16:15:04,2.1,7,Ⅲ,35.52 N,128.88 E,경남 밀양시 동쪽 12km 지역,지도,상세정보
1011,2021/04/29 5:12:25,2,18,Ⅰ,35.65 N,129.83 E,울산 동구 동북동쪽 41km 해역,지도,상세정보
1010,2021/04/28 12:00:40,2.5,20,Ⅰ,35.65 N,129.79 E,울산 동구 동북동쪽 37km 해역,지도,상세정보
1009,2021/04/25 17:07:59,2.3,5,Ⅰ,37.48 N,124.36 E,인천 옹진군 백령도 남남서쪽 60km 해역,지도,상세정보
1008,2021/04/23 2:41:27,2.2,6,Ⅰ,40.49 N,127.51 E,북한 함경남도 장진 동북동쪽 26km 지역,지도,상세정보
1007,2021/04/20 2:13:27,2.6,15,Ⅰ,35.08 N,125.05 E,전남 신안군 흑산도 북서쪽 57km 해역,지도,상세정보
1006,2021/04/19 15:48:52,2.7,20,Ⅰ,41.28 N,129.13 E,북한 함경북도 길주 북북서쪽 40km 지역,지도,상세정보
1005,2021/04/19 14:20:27,3.7,15,Ⅱ,35.07 N,125.08 E,전남 신안군 흑산도 북서쪽 54km 해역,지도,상세정보
1004,2021/04/16 1:43:23,2.2,11,Ⅲ,37.29 N,127.71 E,경기 여주시 동쪽 7km 지역,지도,상세정보
1003,2021/04/13 21:56:15,2,13,Ⅲ,36.02 N,126.91 E,전북 익산시 북북서쪽 9km 지역,지도,상세정보
1002,2021/03/16 2:51:52,2.6,18,Ⅲ,35.76 N,129.19 E,경북 경주시 남남서쪽 11km 지역,지도,상세정보
1001,2021/02/21 9:03:34,2.2,18,Ⅱ,35.47 N,126.34 E,전남 영광군 북서쪽 27km 해역,지도,상세정보
1000,2021/02/15 18:59:25,2.5,14,Ⅳ,35.99 N,126.84 E,전북 군산시 동북동쪽 10km 지역,지도,상세정보
999,2021/02/10 19:28:18,2.1,9,Ⅱ,37.32 N,126.24 E,인천 옹진군 서남서쪽 38km 해역,지도,상세정보
998,2021/02/08 7:46:51,2.3,24,Ⅰ,40.64 N,127.62 E,북한 함경남도 장진 북동쪽 43km 지역,지도,상세정보
997,2021/02/08 3:37:34,3.2,24,Ⅰ,40.67 N,127.45 E,북한 함경남도 장진 북북동쪽 37km 지역,지도,상세정보
996,2021/02/06 4:40:03,2.7,5,Ⅳ,35.81 N,127.53 E,전북 장수군 북쪽 18km 지역,지도,상세정보
995,2021/02/03 12:17:56,2.2,8,Ⅲ,37.32 N,126.24 E,인천 옹진군 서남서쪽 38km 해역,지도,상세정보
994,2021/01/24 6:23:05,2.1,11,Ⅰ,35.84 N,125.14 E,전북 군산시 어청도 서남서쪽 81km 해역,지도,상세정보
993,2021/01/14 8:17:28,2.1,-,Ⅰ,36.86 N,125.43 E,충남 태안군 서격렬비도 북북서쪽 30km 해역,지도,상세정보
992,2020/12/23 21:28:20,2.2,12,Ⅲ,37.73 N,126.73 E,경기 파주시 남서쪽 6km 지역,지도,상세정보
991,2020/12/18 17:17:23,2.7,16,Ⅱ,37.66 N,129.32 E,강원 동해시 북동쪽 24km 해역,지도,상세정보
990,2020/12/15 17:15:31,2.3,16,Ⅰ,37.70 N,125.17 E,북한 황해남도 옹진 남남서쪽 31km 해역,지도,상세정보
989,2020/11/19 23:17:28,3.1,15,Ⅰ,37.99 N,125.37 E,북한 황해남도 옹진 북쪽 7km 지역,지도,상세정보
988,2020/11/17 3:10:29,2.6,-,Ⅰ,41.28 N,129.18 E,북한 함경북도 길주 북북서쪽 38km 지역,지도,상세정보
987,2020/11/15 0:00:29,2.1,17,Ⅲ,35.76 N,129.18 E,경북 경주시 남남서쪽 11km 지역,지도,상세정보
986,2020/11/08 15:26:09,2.9,9,Ⅳ,36.41 N,128.22 E,경북 상주시 동쪽 5km 지역,지도,상세정보
985,2020/11/06 18:27:23,2,8,Ⅱ,36.43 N,128.14 E,경북 상주시 북서쪽 3km 지역,지도,상세정보
984,2020/11/04 16:50:30,2.4,22,Ⅰ,35.84 N,129.79 E,경북 포항시 남구 동남동쪽 43km 해역,지도,상세정보
983,2020/11/04 7:23:48,2.2,23,Ⅰ,35.83 N,129.78 E,경북 포항시 남구 동남동쪽 43km 해역,지도,상세정보
982,2020/11/04 4:41:54,2.8,-,Ⅰ,38.79 N,125.72 E,북한 황해북도 송림 북동쪽 10km 지역,지도,상세정보
981,2020/10/25 19:10:49,2.5,17,Ⅰ,33.89 N,125.65 E,전남 진도군 남서쪽 87km 해역,지도,상세정보
980,2020/10/24 15:09:01,2.1,21,Ⅰ,33.93 N,127.45 E,전남 여수시 거문도 남동쪽 16km 해역,지도,상세정보
979,2020/10/09 4:38:14,2.1,15,Ⅲ,35.75 N,129.17 E,경북 경주시 남남서쪽 13km 지역,지도,상세정보
978,2020/10/07 4:05:32,2.1,22,Ⅰ,33.92 N,127.44 E,전남 여수시 거문도 남동쪽 16km 해역,지도,상세정보
977,2020/10/03 1:37:30,2.3,-,Ⅰ,38.83 N,126.03 E,북한 황해북도 연산 서남서쪽 20km 지역,지도,상세정보
976,2020/10/02 22:29:50,2.6,-,Ⅰ,38.74 N,125.90 E,북한 황해북도 송림 동쪽 23km 지역,지도,상세정보
975,2020/10/02 21:31:23,2.5,-,Ⅰ,38.74 N,125.89 E,북한 황해북도 송림 동쪽 22km 지역,지도,상세정보
974,2020/09/22 20:08:54,2.1,15,Ⅱ,36.60 N,129.37 E,경북 영덕군 북쪽 21km 지역,지도,상세정보
973,2020/09/20 1:22:14,2.2,17,Ⅲ,36.51 N,127.14 E,충남 공주시 북북동쪽 7km 지역,지도,상세정보
972,2020/09/13 0:54:03,2.9,15,Ⅰ,37.64 N,124.60 E,인천 옹진군 백령도 남남서쪽 35km 해역,지도,상세정보
971,2020/09/12 13:31:05,2.4,15,Ⅱ,36.03 N,128.40 E,경북 칠곡군 북쪽 4km 지역,지도,상세정보
970,2020/09/02 19:43:06,2.3,-,Ⅱ,34.38 N,126.20 E,전남 진도군 남남서쪽 13km 지역,지도,상세정보
969,2020/08/21 3:52:51,2.5,14,Ⅱ,37.91 N,125.93 E,북한 황해남도 해주 남동쪽 24km 지역,지도,상세정보
968,2020/08/07 21:27:43,2.4,-,Ⅰ,41.30 N,129.09 E,북한 함경북도 길주 북북서쪽 43km 지역,지도,상세정보
967,2020/08/05 1:22:48,2,7,Ⅰ,38.85 N,125.71 E,북한 황해북도 송림 북북동쪽 14km 지역,지도,상세정보
966,2020/08/01 13:15:06,2,19,Ⅱ,36.77 N,128.48 E,경북 예천군 북쪽 13km 지역,지도,상세정보
965,2020/08/01 2:58:47,2,17,Ⅰ,38.65 N,127.16 E,북한 강원 평강 북북서쪽 29km 지역,지도,상세정보
964,2020/07/25 0:34:06,2.2,7,Ⅰ,34.06 N,125.54 E,전남 신안군 흑산도 남쪽 66km 해역,지도,상세정보
963,2020/07/20 19:02:00,2,11,Ⅰ,34.53 N,128.14 E,경남 남해군 남남동쪽 41km 해역,지도,상세정보
962,2020/07/15 15:20:47,2.4,-,Ⅰ,34.88 N,124.68 E,전남 신안군 흑산도 서북서쪽 77km 해역,지도,상세정보
961,2020/07/11 22:38:55,2.7,-,Ⅰ,37.88 N,129.58 E,강원 동해시 북동쪽 57km 해역,지도,상세정보
960,2020/07/07 14:08:23,3.3,12,Ⅲ,37.19 N,125.55 E,인천 옹진군 연평도 남남서쪽 54km 해역,지도,상세정보
959,2020/07/03 13:59:31,2.3,6,Ⅲ,37.18 N,128.71 E,강원 영월군 동쪽 22km 지역,지도,상세정보
958,2020/06/24 3:28:47,2.5,-,Ⅰ,38.66 N,125.95 E,북한 황해북도 사리원 북동쪽 24km 지역,지도,상세정보
957,2020/06/23 19:58:05,2.1,6,Ⅲ,37.86 N,126.90 E,경기 파주시 북동쪽 15km 지역,지도,상세정보
956,2020/06/21 9:49:52,2.3,9,Ⅱ,38.47 N,128.52 E,강원 고성군 북북동쪽 11km 해역,지도,상세정보
955,2020/06/08 0:52:10,2.1,5,Ⅲ,36.01 N,128.01 E,경북 김천시 남남서쪽 17km 지역,지도,상세정보
954,2020/06/04 2:21:01,2.5,6,Ⅰ,38.75 N,125.69 E,북한 황해북도 송림 동북동쪽 5km 지역,지도,상세정보
953,2020/05/27 19:23:28,2.8,6,Ⅲ,36.01 N,128.01 E,경북 김천시 남남서쪽 17km 지역,지도,상세정보
952,2020/05/22 21:18:32,2.1,11,Ⅰ,37.67 N,125.00 E,북한 황해남도 옹진 남서쪽 43km 해역,지도,상세정보
951,2020/05/13 15:19:02,2.8,12,Ⅲ,36.10 N,127.34 E,전북 완주군 북동쪽 27km 지역,지도,상세정보
950,2020/05/11 19:45:06,3.8,16,Ⅱ,38.68 N,127.18 E,북한 강원 평강 북북서쪽 32km 지역,지도,단층운동
949,2020/05/09 12:27:08,2.2,8,Ⅰ,38.87 N,126.22 E,북한 평안남도 성천 남쪽 41km 지역,지도,상세정보
948,2020/05/09 1:57:39,2.2,21,Ⅱ,34.66 N,126.40 E,전남 해남군 서북서쪽 21km 지역,지도,상세정보
947,2020/05/07 2:07:31,2.1,17,Ⅰ,34.77 N,124.68 E,전남 신안군 흑산도 서쪽 73km 해역,지도,상세정보
946,2020/05/05 6:44:29,2.4,-,Ⅰ,38.47 N,126.16 E,북한 황해북도 평산 북서쪽 26km 지역,지도,상세정보
945,2020/05/03 22:07:14,3.1,21,Ⅲ,34.66 N,126.40 E,전남 해남군 서북서쪽 21km 지역,지도,상세정보
944,2020/05/02 2:57:02,2.3,21,Ⅱ,34.66 N,126.40 E,전남 해남군 서북서쪽 21km 지역,지도,상세정보
943,2020/04/30 7:13:13,2.4,21,Ⅲ,34.66 N,126.40 E,전남 해남군 서북서쪽 21km 지역,지도,상세정보
942,2020/04/29 15:10:47,2.4,-,Ⅰ,39.39 N,126.13 E,북한 평안남도 성천 북북서쪽 18km 지역,지도,상세정보
941,2020/04/28 12:52:01,2.1,22,Ⅱ,34.66 N,126.41 E,전남 해남군 서북서쪽 20km 지역,지도,상세정보
940,2020/04/28 12:06:53,2.4,10,Ⅱ,36.16 N,127.43 E,충남 금산군 북서쪽 8km 지역,지도,상세정보
939,2020/04/27 11:07:10,2.8,6,Ⅳ,35.80 N,127.53 E,전북 장수군 북쪽 17km 지역,지도,상세정보
938,2020/04/24 2:07:22,2.3,15,Ⅰ,35.30 N,125.54 E,전남 신안군 흑산도 북쪽 73km 해역,지도,상세정보
937,2020/04/22 20:54:26,2.1,9,Ⅰ,38.11 N,130.01 E,강원 동해시 북동쪽 102km 해역,지도,상세정보
936,2020/04/18 7:36:28,2.3,14,Ⅱ,37.58 N,126.14 E,인천 강화군 서남서쪽 36km 해역,지도,상세정보
935,2020/04/03 19:44:35,2.2,-,Ⅰ,38.75 N,125.72 E,북한 황해북도 송림 동북동쪽 8km 지역,지도,상세정보
934,2020/03/20 16:02:45,2.7,9,Ⅲ,35.39 N,128.01 E,경남 산청군 동남동쪽 13km 지역,지도,상세정보
933,2020/03/10 1:16:33,2,12,Ⅰ,35.44 N,125.54 E,전북 군산시 어청도 남남서쪽 85km 해역,지도,상세정보
932,2020/02/29 22:03:50,2.4,8,Ⅰ,38.45 N,126.17 E,북한 황해북도 평산 북서쪽 24km 지역,지도,상세정보
931,2020/02/29 22:02:19,2.7,8,Ⅰ,38.46 N,126.17 E,북한 황해북도 평산 북서쪽 24km 지역,지도,상세정보
930,2020/02/16 20:03:35,2.7,19,Ⅰ,36.26 N,130.49 E,경북 영덕군 동쪽 102km 해역,지도,상세정보
929,2020/02/09 14:41:26,2.4,9,Ⅲ,35.77 N,129.03 E,경북 경주시 서남서쪽 18km 지역,지도,상세정보
928,2020/01/30 0:52:52,3.2,21,Ⅲ,36.59 N,128.12 E,경북 상주시 북쪽 20km 지역,지도,상세정보
927,2020/01/29 9:33:47,2.5,-,Ⅰ,41.29 N,129.11 E,북한 함경북도 길주 북북서쪽 41km 지역,지도,상세정보
926,2020/01/15 22:46:11,2.1,8,Ⅱ,37.11 N,128.29 E,충북 제천시 동남동쪽 9km 지역,지도,상세정보
925,2020/01/08 6:03:00,2,17,Ⅰ,35.91 N,128.38 E,경북 성주군 동쪽 9km 지역,지도,상세정보
924,2019/12/30 1:44:02,2.1,19,Ⅱ,35.56 N,128.90 E,경남 밀양시 동북동쪽 15km 지역,지도,상세정보
923,2019/12/30 0:32:08,3.5,20,Ⅳ,35.56 N,128.90 E,경남 밀양시 동북동쪽 15km 지역,지도,상세정보
922,2019/12/29 8:43:26,2.3,17,Ⅰ,33.33 N,127.16 E,제주 서귀포시 동쪽 56km 해역,지도,상세정보
921,2019/12/24 6:19:16,2.4,18,Ⅰ,33.29 N,127.16 E,제주 서귀포시 동쪽 56km 해역,지도,상세정보
920,2019/12/17 16:00:30,2.1,11,Ⅰ,38.01 N,126.00 E,북한 황해남도 해주 동쪽 25km 지역,지도,상세정보
