번호,발생시각,규모,깊이(km),"최대
560,2017/04/18 1:17:44,2,16,,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,지도,-
559,2017/04/16 21:39:21,2.2,6,,36.70 N,125.18 E,충남 태안군 서격렬비도 서북서쪽 33km 해역,지도,-
558,2017/04/15 17:16:47,2,8,,36.11 N,129.37 E,경북 포항시 북구 북쪽 8km 지역,지도,-
557,2017/04/15 11:31:13,3.1,13,,36.11 N,129.36 E,경북 포항시 북구 북쪽 8km 지역,지도,-
556,2017/04/15 5:41:52,2.2,15,,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,지도,-
555,2017/04/10 4:02:49,2.3,17,,35.16 N,128.77 E,경남 창원시 진해구 동북동쪽 6km 지역,지도,-
554,2017/04/09 14:12:45,2.4,5,,38.99 N,126.20 E,북한 평안남도 성천 남쪽 28km 지역,지도,-
553,2017/04/09 1:45:53,2.1,13,,35.76 N,129.20 E,경북 경주시 남쪽 9km 지역,지도,-
552,2017/04/08 23:13:13,2.1,0,,38.72 N,125.61 E,북한 황해북도 송림 북북서쪽 2km 지역,지도,-
551,2017/04/08 18:20:49,2.7,11,,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,지도,-
550,2017/04/07 0:04:09,2,4,,35.97 N,127.80 E,전북 무주군 동남동쪽 13km 지역,지도,-
549,2017/04/04 23:25:52,2.2,21,,35.67 N,129.85 E,울산 동구 동북동쪽 43km 해역,지도,-
548,2017/04/01 16:04:16,2.2,16,,35.78 N,129.20 E,경북 경주시 남남서쪽 7km 지역,지도,-
547,2017/03/31 13:53:28,2.5,15,,35.78 N,129.20 E,경북 경주시 남남서쪽 6km 지역,지도,-
546,2017/03/31 13:46:09,3.3,17,,35.78 N,129.20 E,경북 경주시 남남서쪽 7km 지역,지도,-
545,2017/03/30 21:49:53,2,17,,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역,지도,-
544,2017/03/28 15:45:38,2,16,,35.79 N,129.20 E,경북 경주시 남남서쪽 5km 지역,지도,-
543,2017/03/28 0:48:39,2.2,0,,37.17 N,125.48 E,인천 옹진군 연평도 남남서쪽 58km 해역,지도,-
542,2017/03/27 9:28:26,2,9,,35.21 N,126.95 E,광주 북구 북동쪽 5km 지역,지도,-
541,2017/03/21 23:19:48,2.4,0,,38.52 N,126.03 E,북한 황해북도 사리원 동쪽 23km 지역,지도,-
540,2017/03/19 3:01:14,2.9,14,,33.32 N,127.18 E,제주 서귀포시 성산 동남동쪽 29km 해역,지도,-
539,2017/03/14 5:41:43,2.1,22,,34.64 N,127.78 E,전남 여수시 남동쪽 17km 지역,지도,-
538,2017/03/09 2:24:31,2,22,,35.82 N,129.78 E,경북 포항시 남구 동남동쪽 43km 해역,지도,-
537,2017/03/07 6:53:36,2.6,0,,37.75 N,129.71 E,강원 동해시 동북동쪽 58km 해역,지도,-
536,2017/03/07 3:48:07,2.2,20,,36.30 N,128.23 E,경북 구미시 북북서쪽 23km 지역,지도,-
535,2017/03/06 6:21:33,2,1,,35.75 N,126.10 E,전북 부안군 위도 북서쪽 24km 해역,지도,-
534,2017/03/05 19:19:07,2.1,7,,37.77 N,129.70 E,강원 동해시 동북동쪽 58km 해역,지도,-
533,2017/03/05 15:09:40,2.1,9,,37.72 N,129.59 E,강원 동해시 동북동쪽 47km 해역,지도,-
532,2017/03/05 9:28:49,2.4,8,,37.74 N,129.69 E,강원 동해시 동북동쪽 56km 해역,지도,-
531,2017/03/05 9:18:27,3.2,13,,37.75 N,129.66 E,강원 동해시 동북동쪽 54km 해역,지도,-
530,2017/03/05 7:52:04,2.4,17,,35.75 N,129.17 E,경북 경주시 남남서쪽 11km 지역,지도,-
529,2017/03/04 6:33:12,2.3,7,,35.99 N,127.95 E,경북 김천시 남서쪽 22km 지역,지도,-
528,2017/02/25 6:59:07,2.4,15,,35.74 N,129.18 E,경북 경주시 남남서쪽 11km 지역,지도,-
527,2017/02/25 6:58:44,2.2,19,,35.74 N,129.17 E,경북 경주시 남남서쪽 12km 지역,지도,-
526,2017/02/24 12:29:38,2.5,8,,38.89 N,126.09 E,북한 평양 동남동쪽 33km 지역,지도,-
525,2017/02/24 11:34:44,2.3,14,,36.38 N,127.79 E,충북 옥천군 동북동쪽 21km 지역,지도,-
524,2017/02/23 21:03:51,3.1,7,,37.40 N,124.89 E,인천 백령도 남남동쪽 64km 해역,지도,-
523,2017/02/22 13:08:50,2.1,14,,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역,지도,-
522,2017/02/21 3:21:11,2.1,14,,35.76 N,129.20 E,경북 경주시 남쪽 9km 지역,지도,-
521,2017/02/18 20:58:19,2.4,17,,35.23 N,126.94 E,광주 북구 북북동쪽 7km 지역,지도,-
520,2017/02/18 16:53:49,2,15,,33.23 N,126.18 E,제주 서귀포시 서쪽 35km 해역,지도,-
519,2017/02/16 18:20:19,2.3,17,,35.64 N,128.09 E,경남 합천군 북서쪽 11km 지역,지도,-
518,2017/02/16 2:34:56,2.9,15,,35.78 N,129.20 E,경북 경주시 남남서쪽 7km 지역,지도,-
517,2017/02/12 9:22:27,2.3,22,,35.69 N,129.58 E,울산 북구 동북동쪽 23km 해역,지도,-
516,2017/02/10 18:01:35,2.6,0,,38.54 N,125.84 E,북한 황해북도 사리원 동북동쪽 8km 지역,지도,-
515,2017/02/10 5:22:41,2.2,20,,35.65 N,129.57 E,울산 북구 동북동쪽 20km 해역,지도,-
514,2017/02/05 20:06:15,2.6,3,,39.61 N,127.64 E,북한 함경남도 함흥 남남동쪽 34km 해역,지도,-
513,2017/02/05 19:07:29,2.5,21,,33.61 N,126.73 E,제주 제주시 동북동쪽 22km 해역,지도,-
512,2017/01/29 13:45:53,2.6,8,,38.70 N,127.16 E,북한 강원 평강 북북서쪽 34km 지역,지도,-
511,2017/01/26 22:53:38,2,0,,33.54 N,126.87 E,제주 제주시 동쪽 32km 해역,지도,-
510,2017/01/24 4:07:56,2.6,16,,35.77 N,129.17 E,경북 경주시 남남서쪽 9km 지역,지도,-
509,2017/01/21 3:27:38,2.6,15,,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역,지도,-
508,2017/01/18 12:49:53,2.5,4,,35.02 N,125.06 E,전남 신안군 흑산면 북서쪽 56km 해역,지도,-
507,2017/01/17 16:06:56,2.8,6,,38.71 N,125.86 E,북한 황해북도 송림 동쪽 20km 지역,지도,-
506,2017/01/16 19:54:13,2.1,20,,36.33 N,126.59 E,충남 보령시 서쪽 2km 지역,지도,-
505,2017/01/16 6:57:31,2.7,21,,33.64 N,127.51 E,전남 여수시 거문도 남남동쪽 47km 해역,지도,-
504,2017/01/14 11:52:55,2.2,10,,35.17 N,127.79 E,경남 하동군 북북동쪽 12km 지역,지도,-
503,2017/01/11 0:10:05,2.1,20,,36.44 N,128.42 E,경북 의성군 서북서쪽 27km 지역,지도,-
502,2017/01/07 6:37:41,2.4,1,,38.69 N,125.73 E,북한 황해북도 송림 동남동쪽 10km 지역,지도,-
501,2017/01/06 5:33:23,2.2,12,,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역,지도,-
500,2017/01/06 5:31:13,3.3,12,,35.75 N,129.17 E,경북 경주시 남남서쪽 11km 지역,지도,-
499,2017/01/04 5:00:47,2.5,18,,36.58 N,129.24 E,경북 영덕군 북북서쪽 22km 지역,지도,-
498,2016/12/31 8:01:03,2.6,-,,39.31 N,126.27 E,북한 평안남도 성천군 북북동쪽 9km 지역,지도,-
497,2016/12/30 15:04:41,2.5,10,,38.64 N,125.76 E,북한 황해북도 사리원시 북쪽 15km 지역,지도,-
496,2016/12/29 21:32:25,2.3,9,,36.12 N,129.36 E,경북 포항시 북구 북쪽 9km 지역,지도,-
495,2016/12/29 5:53:11,2.6,6,,38.71 N,125.76 E,북한 황해북도 송림시 동남동쪽 11km 지역,지도,-
494,2016/12/25 6:29:09,2.5,11,,35.78 N,129.31 E,경북 경주시 남동쪽 11km 지역,지도,-
493,2016/12/25 1:59:43,2.4,17,,35.25 N,129.39 E,부산 기장군 동쪽 15km 해역,지도,-
492,2016/12/23 5:31:32,2.2,10,,36.12 N,129.36 E,경북 포항시 북구 북쪽 9km 지역,지도,-
491,2016/12/22 21:13:32,2.2,18,,34.45 N,128.54 E,경남 통영시 매물도 남쪽 22km 해역,지도,-
490,2016/12/15 17:14:53,2.1,14,,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역,지도,-
489,2016/12/14 17:20:34,3.3,12,,35.76 N,129.17 E,경북 경주시 남남서쪽 10km 지역,지도,-
488,2016/12/14 10:05:28,2.1,12,,36.54 N,128.08 E,경북 상주시 북북서쪽 16km 지역,지도,-
487,2016/12/12 17:53:17,3.3,16,,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,지도,-
486,2016/12/12 4:46:32,2.2,13,,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,지도,-
485,2016/12/11 16:05:36,2.6,14,,36.07 N,125.57 E,충남 태안군 서격렬비도 남쪽 59km 해역,지도,-
484,2016/12/10 15:51:54,2,12,,37.63 N,129.68 E,강원 삼척시 동북동쪽 50km 해역,지도,-
483,2016/12/10 0:51:13,2.1,18,,35.77 N,129.17 E,경북 경주시 남남서쪽 9km 지역,지도,-
482,2016/12/09 11:30:45,2.4,8,,35.69 N,129.36 E,경북 경주시 남동쪽 21km 지역,지도,-
481,2016/12/07 22:34:14,2.4,-,,37.18 N,125.48 E,인천 옹진군 연평도 남남서쪽 57km 해역,지도,-
480,2016/12/05 7:42:21,2.1,21,,35.81 N,129.72 E,경북 포항시 남구 남동쪽 39km 해역,지도,-
479,2016/12/05 0:47:03,2.1,14,,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역,지도,-
478,2016/12/02 4:45:42,2.1,14,,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역,지도,-
477,2016/11/29 10:09:22,2.9,17,,33.40 N,125.72 E,제주 제주시 고산 서북서쪽 43km 해역,지도,-
476,2016/11/28 23:33:02,2.2,10,,38.49 N,126.14 E,북한 황해북도 평산군 북서쪽 28km 지역,지도,-
475,2016/11/28 20:57:26,2.4,18,,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역,지도,-
474,2016/11/27 20:08:46,2.2,12,,36.02 N,127.39 E,충남 금산군 남서쪽 13km 지역,지도,-
473,2016/11/27 6:53:12,2.5,10,,36.34 N,127.33 E,대전 유성구 남서쪽 3km 지역,지도,-
472,2016/11/25 18:53:58,2.3,14,,35.75 N,129.17 E,경북 경주시 남남서쪽 11km 지역,지도,-
471,2016/11/19 3:29:02,2.1,14,,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역,지도,-
470,2016/11/18 2:02:35,2,13,,35.51 N,128.09 E,경남 합천군 남서쪽 9km 지역,지도,-
469,2016/11/16 23:15:44,2.1,6,,34.86 N,125.08 E,전남 신안군 흑산면 서북서쪽 43km 해역,지도,-
468,2016/11/15 16:27:40,2,18,,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역,지도,-
467,2016/11/15 12:22:59,2.5,9,,38.35 N,128.09 E,북한 강원도 금강군 남남동쪽 29km 지역,지도,-
466,2016/11/13 21:52:57,3.5,10,,36.36 N,126.63 E,충남 보령시 북북동쪽 4km 지역,지도,-
465,2016/11/13 2:27:23,2.3,-,,38.76 N,125.66 E,북한 황해북도 송림시 북동쪽 3km 지역,지도,-
464,2016/11/10 22:37:52,2.5,18,,36.46 N,129.89 E,경북 영덕군 동쪽 47km 해역,지도,-
463,2016/11/09 20:55:44,2.3,20,,36.55 N,129.60 E,경북 영덕군 북동쪽 26km 해역,지도,-
462,2016/11/08 23:35:33,2.3,16,,36.18 N,128.50 E,경북 구미시 동북동쪽 15km 지역,지도,-
461,2016/11/06 6:26:22,3.5,12,,33.76 N,125.07 E,전남 신안군 흑산면 남남서쪽 106km 해역,지도,-
460,2016/11/03 23:35:52,2.6,16,,35.32 N,128.49 E,경남 함안군 북동쪽 9km 지역,지도,-
459,2016/11/03 10:36:23,2.3,11,,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역,지도,-
458,2016/11/03 10:02:26,2.3,18,,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역,지도,-
457,2016/11/03 3:46:06,2.1,14,,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역,지도,-
456,2016/11/02 3:01:43,2.3,10,,33.53 N,126.88 E,제주 제주시 동쪽 33km 지역,지도,-
455,2016/10/25 19:57:37,2.4,8,,35.70 N,129.37 E,경북 경주시 남동쪽 21km 지역,지도,-
454,2016/10/25 3:23:06,2,15,,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역,지도,-
453,2016/10/24 9:02:01,2.2,7,,37.25 N,127.02 E,경기 수원시 권선구 동쪽 4km 지역,지도,-
452,2016/10/23 3:00:04,2.7,14,,35.78 N,129.20 E,경북 경주시 남남서쪽 7km 지역,지도,-
451,2016/10/21 12:47:49,2.6,12,,35.75 N,129.17 E,경북 경주시 남남서쪽 11km 지역,지도,-
450,2016/10/21 10:13:53,2.2,14,,36.46 N,126.87 E,충남 청양군 동쪽 6km 지역,지도,-
449,2016/10/20 12:17:07,2.4,15,,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역,지도,-
448,2016/10/15 23:49:08,2.2,12,,35.76 N,129.17 E,경북 경주시 남남서쪽 10km 지역,지도,-
447,2016/10/15 18:55:18,2.5,16,,35.74 N,129.18 E,경북 경주시 남남서쪽 11km 지역,지도,-
446,2016/10/14 8:20:58,2.3,15,,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역,지도,-
445,2016/10/12 0:29:36,2.9,18,,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,지도,-
444,2016/10/10 22:59:10,3.3,17,,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역,지도,-
443,2016/10/09 14:03:00,2.2,11,,35.08 N,126.93 E,광주 동구 남쪽 7km 지역,지도,-
442,2016/10/07 17:17:58,2.2,16,,35.77 N,129.23 E,경북 경주시 남쪽 10km 지역,지도,-
441,2016/10/05 23:29:16,2.3,35,,38.76 N,125.62 E,북한 황해북도 송림시 북북서쪽 3km 지역,지도,-
440,2016/10/04 15:16:44,2.6,15,,35.76 N,129.19 E,경북 경주시 남남서쪽9km 지역,지도,-
439,2016/10/02 20:53:07,3,18,,35.75 N,129.19 E,경북 경주시 남남서쪽10km 지역,지도,-
438,2016/10/01 17:00:34,2.3,15,,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,지도,-
437,2016/10/01 13:04:16,2,15,,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,지도,-
436,2016/09/30 21:52:49,2.2,15,,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역,지도,-
435,2016/09/30 18:06:36,2.3,16,,35.76 N,129.16 E,경북 경주시 남남서쪽 10km 지역,지도,-
434,2016/09/30 16:24:16,2,17,,35.77 N,129.16 E,경북 경주시 남남서쪽 9km 지역,지도,-
433,2016/09/30 11:09:47,2.1,15,,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,지도,-
432,2016/09/28 21:10:34,2.7,15,,35.77 N,129.17 E,경북 경주시 남남서쪽 9km 지역,지도,-
431,2016/09/28 19:00:03,2.6,-,,38.74 N,125.73 E,북한 황해북도 송림시 동쪽 8km 지역,지도,-
430,2016/09/28 18:54:22,2.8,1,,38.74 N,125.69 E,북한 황해북도 송림시 동쪽 5km 지역,지도,-
429,2016/09/28 16:34:30,3.1,13,,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,지도,-
428,2016/09/24 19:56:21,2.5,15,,35.79 N,129.19 E,경북 경주시 남남서쪽 6km 지역,지도,-
427,2016/09/23 18:21:42,2.1,17,,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,지도,-
426,2016/09/22 3:22:32,2.1,14,,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,지도,-
425,2016/09/22 0:01:30,2.3,16,,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,지도,-
424,2016/09/21 11:53:54,3.5,18,,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역,지도,-
423,2016/09/21 11:36:41,2.2,16,,35.78 N,129.15 E,경북 경주시 남서쪽 9km 지역,지도,-
422,2016/09/21 3:36:51,2.9,14,,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역,지도,-
421,2016/09/21 0:59:11,2.1,17,,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,지도,-
420,2016/09/20 20:03:27,2.1,17,,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역,지도,-
419,2016/09/20 15:05:17,2.5,-,,38.36 N,128.09 E,북한 강원도 양구군 북북동쪽 29km 지역,지도,-
418,2016/09/20 9:58:17,2.4,19,,35.76 N,129.20 E,경북 경주시 남쪽 9km 지역,지도,-
417,2016/09/19 21:00:51,2.1,18,,35.75 N,129.17 E,경북 경주시 남남서쪽 11km 지역,지도,-
416,2016/09/19 20:33:58,4.5,14,,35.74 N,129.18 E,경북 경주시 남남서쪽 11km 지역,지도,-
415,2016/09/19 9:17:59,2.1,17,,35.76 N,129.17 E,경북 경주시 남남서쪽 10km 지역,지도,-
414,2016/09/18 22:38:07,2,14,,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역,지도,-
413,2016/09/18 16:27:54,2.4,16,,35.76 N,129.17 E,경북 경주시 남남서쪽 10km 지역,지도,-
412,2016/09/17 16:21:58,2.1,18,,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,지도,-
411,2016/09/17 7:12:56,2.1,17,,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,지도,-
410,2016/09/16 21:14:24,2.2,18,,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,지도,-
409,2016/09/16 19:54:46,2.1,13,,35.74 N,129.17 E,경북 경주시 남남서쪽 12km 지역,지도,-
408,2016/09/16 19:15:46,2,16,,35.76 N,129.18 E,경북 경주시 남남서쪽 10km 지역,지도,-
407,2016/09/16 18:58:31,2,19,,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역,지도,-
406,2016/09/16 15:13:18,2.3,16,,35.76 N,129.17 E,경북 경주시 남남서쪽 10km 지역,지도,-
405,2016/09/16 5:31:09,2.2,18,,35.78 N,129.19 E,경북 경주시 남남서쪽 7km 지역,지도,-
404,2016/09/15 20:48:25,2.6,19,,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역,지도,-
403,2016/09/15 19:47:25,2.2,20,,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역,지도,-
402,2016/09/15 3:22:28,2.7,18,,35.76 N,129.18 E,경북 경주시 남쪽 9km 지역,지도,-
401,2016/09/14 22:31:31,2.4,18,,35.76 N,129.17 E,경북 경주시 남남서쪽 10km 지역,지도,-
400,2016/09/14 17:27:14,2.3,18,,35.77 N,129.17 E,경북 경주시 남남서쪽 9km 지역,지도,-
399,2016/09/14 16:47:16,2.1,17,,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역,지도,-
398,2016/09/14 12:38:10,2.2,18,,35.78 N,129.19 E,경북 경주시 남남서쪽 7km 지역,지도,-
397,2016/09/14 11:57:32,2.4,15,,33.93 N,126.62 E,전남 완도군 남남서쪽 44km 해역,지도,-
396,2016/09/14 4:43:47,2.1,17,,35.77 N,129.17 E,경북 경주시 남남서쪽 9km 지역,지도,-
395,2016/09/14 3:55:17,2.4,19,,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,지도,-
394,2016/09/14 1:37:02,2.1,17,,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역,지도,-
393,2016/09/14 0:48:41,3,13,,35.75 N,129.18 E,경북 경주시 남남서쪽 11km 지역,지도,-
392,2016/09/13 23:08:28,2.3,14,,35.73 N,129.36 E,경북 경주시 남동쪽 18km 지역,지도,-
391,2016/09/13 21:49:09,2.1,16,,35.76 N,129.17 E,경북 경주시 남남서쪽 10km 지역,지도,-
390,2016/09/13 18:54:03,2.1,18,,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,지도,-
389,2016/09/13 17:15:37,2,17,,35.77 N,129.18 E,경북 경주시 남남서쪽 9km 지역,지도,-
388,2016/09/13 16:52:11,2.5,19,,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역,지도,-
387,2016/09/13 16:21:33,2,18,,35.75 N,129.17 E,경북 경주시 남남서쪽 10km 지역,지도,-
386,2016/09/13 16:02:48,2.5,17,,35.76 N,129.20 E,경북 경주시 남쪽 9km 지역,지도,-
385,2016/09/13 14:41:41,2.1,16,,35.76 N,129.17 E,경북 경주시 남남서쪽 10km 지역,지도,-
384,2016/09/13 14:31:42,3,14,,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,지도,-
383,2016/09/13 13:18:08,2.1,16,,35.77 N,129.17 E,경북 경주시 남남서쪽 9km 지역,지도,-
382,2016/09/13 13:16:04,2.4,16,,35.77 N,129.17 E,경북 경주시 남남서쪽 9km 지역,지도,-
381,2016/09/13 13:09:09,2.3,16,,35.77 N,129.17 E,경북 경주시 남남서쪽 9km 지역,지도,-
380,2016/09/13 12:33:58,2,18,,35.76 N,129.16 E,경북 경주시 남남서쪽 10km 지역,지도,-
379,2016/09/13 12:27:05,2.2,18,,35.78 N,129.19 E,경북 경주시 남남서쪽 7km 지역,지도,-
378,2016/09/13 10:58:45,2,18,,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,지도,-
377,2016/09/13 10:44:13,2.2,18,,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,지도,-
376,2016/09/13 10:05:38,2,18,,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,지도,-
